x,wor
99.609,1.04443
99.775,3.25519
101.212,2.38083
194.634,6.06162
196.024,4.5703
197.573,5.18692
203.485,3.90024
293.864,7.06758
295.471,8.45539
298.302,6.14113
399.208,9.46033
400.826,11.0024
402.07,7.55737
403.642,8.48247
498.636,13.0884
501.467,10.7741
505.916,10.0019
507.341,8.97328
600.933,14.9162
602.184,11.5741
603.767,12.6534
605.1,10.3909
696.942,13.0437
697.039,14.3291
703.233,16.7955
705.852,11.6536
796.513,18.574
797.814,15.9002
800.718,14.5628
806.596,12.8134
897.103,17.6774
898.844,20.8647
902.969,15.7738
904.375,14.4881
999.226,17.1917
999.357,18.9397
1002.11,15.5972
1002.64,22.5894
1095.49,18.7125
1098.36,16.9637
1101.62,20.3563
1101.93,24.4179
1197.9,22.0313
1199.64,25.2186
1202.1,17.9687
1203.76,20.0763
1297.38,26.4305
1299.83,19.0264
1299.97,20.8773
1300.2,23.962
1389.17,28.3636
1399.49,25.6878
1400.71,21.9343
1403.59,20.3398
1486.5,24.0744
1489.99,30.4489
1497.29,27.6709
1499.84,21.6035
