x,opr,opc
95.674,1586.37,-80.2918
97.483,1753.59,920.257
97.6865,1751.59,1032.86
97.9541,1748.95,1180.85
100.478,1724.09,910.448
196.658,776.719,1809.31
197.025,818.852,1812.74
198.043,935.889,1542.41
198.56,995.41,1521
199.823,860.209,1468.78
200.846,859.266,1426.44
296.084,771.521,1837.48
299.545,645.288,1852.42
300.231,620.253,2232.05
300.324,616.859,2209.45
302.325,567.661,1723.58
303.209,545.923,1731.43
394.893,425.299,2546.19
396.551,508.868,2560.92
398.79,593.413,2580.82
399.459,618.666,2117.47
399.785,630.964,2100.17
403.583,618.463,1898.46
497.134,310.558,2083.17
498.838,331.814,2086.53
500.81,356.407,2343.83
501.758,368.232,2526.08
503.119,422.132,2787.72
503.381,432.497,2753.93
508.005,425.969,2156.84
598.054,298.847,2400.91
598.264,414.666,2401.48
598.845,388.681,2403.05
599.974,338.269,3027.19
602.056,245.242,2512.28
602.446,227.832,2362.91
602.946,227.806,2171.18
696.986,222.889,2520.19
697.253,222.875,2668.18
698.859,222.791,2607.39
704.733,138.829,2384.95
707.124,288.153,2294.43
707.141,289.243,3137.42
708.13,351.007,3138.01
795.015,76.1937,3190.01
796.126,93.0567,3190.68
799.122,138.525,2347.54
799.517,144.529,2566.31
799.663,146.736,2569.63
802.42,5.0215,2632.7
807.375,13.5543,2746.08
893.097,161.156,2589.59
894.47,152.185,2587.08
900.787,110.907,2747.63
901.717,104.826,3262.38
902.031,102.773,3051.49
903.078,85.8428,2348.54
906.423,31.7588,2382.29
998.223,193.551,3308.81
998.508,194.054,2633.12
998.619,194.249,2644.61
1000.36,168.655,2826.07
1001.15,157.138,2427.06
1003.02,129.668,2427.98
1007.42,65.088,2430.14
1096.15,129.833,2473.58
1097.94,131.141,2603.18
1099.59,208.275,2722.26
1099.61,205.335,2724.36
1099.82,184.168,2840.18
1100.81,84.2116,3387.1
1100.86,79.5078,3386.79
1196.06,229.565,2738.62
1197.33,231.563,3439.97
1201.65,238.366,2493.8
1203.6,241.446,2715.88
1204.8,74.0731,2852.7
1204.96,157.72,2869.89
1205.44,158.226,2924.75
1290.92,247.803,2707.92
1295.48,252.581,3563.54
1297.35,254.544,2932.81
1298.54,255.787,2838.57
1299.87,159.193,2732.78
1302.62,91.546,2514.26
1302.76,88.2567,2515.22
1386.57,187.585,3114.76
1396.37,199.192,3558.69
1396.53,289.274,3566.07
1398.06,213.238,3635.4
1398.12,210.057,2837.45
1400.68,83.137,2675.2
1402.18,85.6727,2579.84
1496.78,245.515,3237.7
1497.63,246.95,3707.41
1497.93,247.471,3044.59
1500.42,251.667,2857.66
1500.59,225.919,2844.97
1501.6,71.4255,2733.46
1501.76,161.507,2715.52
1503.1,901.463,2568.13
