x,wpr
94.5281,7300.61
96.1078,7429.37
98.9498,7158.57
194.244,8234.91
197.156,8080.08
200.099,7976.8
295.045,8473.26
297.98,8357.09
299.42,8253.9
400.12,8324.73
403.287,8595.15
404.704,8453.31
497.993,8692.14
499.349,8447.21
502.423,8562.99
597.052,8531.12
597.183,8750.18
598.631,8659.88
693.392,8847.08
693.562,6630.57
694.824,8731
700.183,7648.18
790.413,7797.01
792.341,1005.65
793.542,3002.99
794.905,5270.95
797.166,4033.69
802.145,2319.45
893.792,2326.43
894.063,2777.44
895.736,3060.84
898.439,2558.09
900.739,1385.26
907.127,2016.29
993.462,3183.41
995.483,4046.68
997.644,2641.9
1002.71,3569.41
1091.82,4349.75
1093.15,4066.16
1098.11,4826.15
1101.97,3743.43
1195.76,4819.86
1197.49,5193.46
1198.52,4420.2
1199.88,4175.27
1290.48,4942.62
1295.17,5251.6
1301.31,5457.39
1303.74,4503.63
1389.61,4897.58
1389.98,5516.11
1391.3,5206.75
1399.07,5644.39
1496.57,5380.38
1500.92,5122.36
1501.18,5560.49
1501.26,5689.35
