x,wpc
102.175,0.64486
103.708,0.413453
199.815,1.47494
202.859,1.18179
295.952,2.30507
303.509,1.99636
395.094,3.15053
399.644,2.84191
497.244,3.9959
503.295,3.70267
591.871,4.87234
602.434,4.57898
694.018,5.73314
697.132,4.88472
701.601,5.22393
706.083,5.45516
791.649,6.64034
796.271,5.76103
796.315,5.40628
797.714,6.23914
799.361,5.0977
802.243,6.10019
893.944,6.3289
895.403,6.68362
896.994,5.98948
897.015,5.81982
897.046,5.57303
996.184,6.44934
997.628,6.92745
1000.66,6.72684
1000.74,6.1253
1096.88,6.90915
1098.33,7.34099
1098.36,7.10962
1104.43,6.61587
1196.02,7.73919
1197.57,7.38439
1200.61,7.13751
1202.07,7.49223
1295.24,7.99853
1298.21,8.2915
1299.77,7.85958
1301.3,7.62818
1394.42,8.52008
1395.96,8.21156
1397.39,8.84391
1498.08,9.31914
1501.12,9.04142
1504.17,8.73285
1507.16,8.887
