x,gor
96.8494,1208.91
99.7118,1425.27
195.698,1250.52
197.082,1440.07
295.031,4500.79
296.864,2981.79
297.132,2145.04
297.314,1715.43
392.857,16391
393.22,10482.8
393.469,7720.64
394.613,11930.6
399.624,6320.75
495.779,28447.9
496.104,19070.3
497,40012
497.239,29817.7
501.915,23844.2
593.91,71103.5
597.012,62470.8
597.222,48226.7
597.375,39953
692.08,169550
692.731,76192.3
699.791,129345
699.992,101035
794.987,47524.3
798.754,116183
799.726,221874
800.587,76971.7
894.942,79625.8
899.536,11166
902.92,43698.5
903.361,25437.3
996.02,5314.23
996.303,23671.5
996.552,17434.2
999.845,12106.4
1094.07,14593.2
1097.72,6557.6
1098.35,3017.01
1099.48,4773.13
1104.93,9331.59
1196.77,5298.57
1197.74,10118.7
1200.07,3636.33
1200.51,2116.74
1296.21,2643.13
1298.43,6853.27
1299.05,3228.09
1300.33,4230.92
1302.56,1710.26
1396.68,2346.34
1397.19,1257.87
1398.38,1832.74
1400.48,5537.22
1403.95,3111.36
1498.02,4527.14
1498.7,1963.87
1500.04,2398.55
1500.6,1198.23
1503.4,1533.92
1505.23,1016.23
