x,gpc
97.082,633.041
100.226,478.228
200.732,646.78
202.071,827.436
295.041,1021.73
302.774,776.635
396.479,1822.55
396.654,1629.01
404.444,1319.39
496.928,3720.14
497.533,3049.17
500.98,2558.88
504.287,2223.42
594.421,7230.6
598.717,5798.38
598.924,3901.6
599.078,5398.38
603.024,4353.25
696.254,7592.71
698.782,8121.76
699.038,7837.9
699.492,7334.67
701.39,6895.98
796.585,7954.81
797.797,8277.4
797.913,8148.37
799.823,7696.77
889.567,8136.21
893.842,8394.31
895.414,8316.9
897.242,7955.62
995.908,8498.35
996.024,8369.32
996.373,7982.23
997.596,8291.92
1091.99,8576.55
1092.29,8241.07
1093.65,8395.92
1096.91,8112.07
1191.35,8345.09
1194.58,8099.96
1195.6,8629
1197.28,8435.46
1291.87,8500.74
1292.02,8333
1292.17,8165.26
1296.29,8591.1
1389.83,8153.14
1390.93,8604.77
1391.01,8514.44
1394.14,8372.53
1491.53,8670.09
1491.69,8489.45
1493.27,8399.14
1493.45,8205.59
