x,bhp
97.6572,3119.02
100.317,3351.88
101.7,3433.38
194.187,2987.06
195.26,3274.26
199.845,3227.68
296.761,2839.59
297.869,3103.49
299.275,3169.47
390.385,2637.77
394.398,2971.54
396.009,2901.68
398.844,3018.11
498.88,2556.27
500,2812.42
500.205,2676.58
502.212,2342.82
594.676,1912.03
595.51,2358.34
595.702,2230.27
598.327,2486.42
691.486,1593.79
695.447,1962.48
696.323,1380.34
698.72,1787.84
699.816,2059.51
790.98,1492.88
899.329,1508.41
1000.19,1496.77
1099.55,1485.12
1198.88,1492.88
1298.24,1481.24
1403.59,1489
1492.39,1492.88
