x,dp
98.1722,4.79978
101.333,-0.239846
102.613,6.59777
104.02,9.47647
195.562,7.2862
200.298,-0.0932881
201.508,8.90373
201.641,4.76487
295.927,10.4914
299.036,7.07134
299.262,0.0532696
302.099,5.09087
397.845,12.0766
400.682,17.1142
401.231,0.0188648
405.487,7.57527
408.59,4.33515
497.632,33.2768
497.985,22.2998
499.317,27.5179
501.695,0.164917
502.645,17.2597
503.056,4.48322
598.42,23.3456
599.22,45.1192
600.264,105.941
600.671,-0.0484269
600.939,38.2805
605.037,4.08892
605.773,27.8419
605.966,68.5102
695.079,1.89915
699.179,14.3142
700.57,64.3395
704.61,31.9474
705.061,17.9112
707.783,26.5478
708.638,-0.0848555
804.5,3.30182
806.115,-0.297693
898.971,3.26995
905.085,-0.331086
906.532,1.28796
996.395,4.67667
1003.99,1.79493
1004.06,-0.364479
1101.38,4.28135
1103.03,-0.577822
1108.95,1.75951
1195.83,4.78932
1199,-0.430253
1200.41,2.2685
1294.96,-0.282683
1299.29,5.11432
1299.36,2.95491
1393.92,0.0438251
1402.76,5.0794
1405.86,1.65933
1489.92,-0.888309
1501.71,5.40591
1503.29,3.06605
