File_Name,Case,X,Y1,Y1_Min,Y1_Max,Y1_Scale,Y2,Y2_Min,Y2_Max,Y2_Scale,Base_Y_Scale,Y2_Y1_Slope,Y2_Intercept
fig3,1a,time_days,opr_bopd,0,2000,coord,opc_mstb,0,1200,coord,Y1,0.6,0
fig4,1b,time_days,opr_bopd,0,2000,coord,opc_mstb,0,1200,coord,Y1,0.6,0
fig5,2a,time_days,opr_bopd,0,3500,coord,opc_mstb,200,1400,coord,Y1,0.3428571429,200
fig6,2b,time_days,opr_bopd,0,3500,coord,opc_mstb,200,1400,coord,Y1,0.3428571429,200
fig7,3a,time_days,opr_bopd,0,4000,coord,opc_mstb,200,1600,coord,Y1,0.35,200
fig8,3b,time_days,opr_bopd,0,4000,coord,opc_mstb,200,1600,coord,Y1,0.35,200
fig9,1a,time_days,wor_stb_stb,0,14,coord,,,,,,,
fig10,1b,time_days,wor_stb_stb,0,14,coord,,,,,,,
fig11,2a,time_days,wor_stb_stb,0,25,coord,,,,,,,
fig12,2b,time_days,wor_stb_stb,0,25,coord,,,,,,,
fig13,3a,time_days,wor_stb_stb,0,35,coord,,,,,,,
fig14,3b,time_days,wor_stb_stb,-5,35,coord,,,,,,,
fig15,1a&1b,time_days,wpc_mmstb,0,5,coord,,,,,,,
fig16,2a&2b,time_days,wpc_mmstb,0,10,coord,,,,,,,
fig17,3a&3b,time_days,wpc_mmstb,0,14,coord,,,,,,,
fig18,4a,time_days,opr_bopd,-500,4500,coord,opc_mstb,0,1000,coord,Y1,0.2,100
fig19,4b,time_days,opr_bopd,-500,4500,coord,opc_mstb,0,1000,coord,Y1,0.2,100
fig20,4a,time_days,wpr_bpd,0,10000,coord,,,,,,,
fig21,4b,time_days,wpr_bpd,0,10000,coord,,,,,,,
fig22,4a&4b,time_days,wpc_mmstb,0,12000,coord,,,,,,,
fig23,4a,time_days,gor_scf_stb,100,1000000,log,,,,,,,
fig24,4b,time_days,gor_scf_stb,100,1000000,log,,,,,,,
fig25,4a,time_days,gpc_mmscf,0,10000,coord,,,,,,,
fig26,4b,time_days,gpc_mmscf,0,10000,coord,,,,,,,
fig27,4a,time_days,bhp_psia,1000,4000,coord,,,,,,,
fig28,4b,time_days,bhp_psia,1000,4000,coord,,,,,,,
fig29,4a,time_days,dp_psia,-10,50,coord,,,,,,,
fig30,4b,time_days,dp_psia,-20,120,coord,,,,,,,
