Participants,1a,1b,2a,2b,3a,3b
ARTEP,3466.76,3575.78,3236.68,3470.49,3002.2,3364.74
Chevron,3464.77,3576.1,3239.19,3464.32,3012.13,3356.08
CMG,3446.32,3558.33,3210.46,3454.76,2970.39,3345.85
ECL,3485.03,3569.71,3326.22,3490.41,3170.46,3412.53
ERC,3439.96,3562.14,3199.89,3453.11,2949.06,3343.41
HOT,3511.65,3582.92,3382.08,3520.19,3256.18,3459.89
INTECH,3530,3601,3382,3541,3221,3479
JNOC,3471.72,3589.29,3251.86,3491.07,3020.84,3405.28
Marathon,3493.24,3593.85,3295.26,3509.8,3085.07,3433.56
Phillip’s,3449.4,3572.4,3203.4,3460.2,2953.2,3351.9
RSRC,3567.8,3610.9,3444.1,3575.3,3318.9,3530.3
Shell,3448.75,3571.38,3201.16,3456.91,2948.98,3345.16
Stanford,3454.64,3572.29,3216.69,3464.3,2977.69,3359.93
TDC,3438.21,3544.4,3203.95,3452.69,2959.82,3343.16
